"Wissenschaftlicher Name","Deutscher Name","Produzent","URL"
"Pulsatilla vulgaris","Gewöhnliche Kuhschelle","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/pulsatilla-vulgaris-kuechenschelle.html"
"Pulsatilla vulgaris","Gewöhnliche Kuhschelle","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/pulsatilla-vulgaris-rote-glocke-kuechenschelle-samen.html"
"Pulsatilla vulgaris","Gewöhnliche Kuhschelle","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/pulsatilla-vulgaris-kuechenschelle-6157.html"
"Pyrus pyraster","Wildbirne","Blauetikett Bornträger",NA
"Quercus pubescens","Flaum-Eiche","Blauetikett Bornträger",NA
"Ranunculus aquatilis","Gewöhnlicher Wasserhahnenfuß","Blauetikett Bornträger",NA
"Ranunculus arvensis","Acker-Hahnenfuß","Blauetikett Bornträger",NA
"Ranunculus lingua","Zungen-Hahnenfuß","Blauetikett Bornträger",NA
"Ranunculus montanus","Berg-Hahnenfuß","Blauetikett Bornträger",NA
"Rhamnus saxatilis","Felsen-Kreuzdorn","Blauetikett Bornträger",NA
"Rhodiola rosea","Rosenwurz","Blauetikett Bornträger",NA
"Rhododendron ferrugineum","Rostblättrige Alpenrose","Blauetikett Bornträger",NA
"Ribes petraeum","Felsen-Johannisbeere","Blauetikett Bornträger",NA
"Rosa agrestis","Ackerrose","Blauetikett Bornträger",NA
"Rosa elliptica","Keilblättrige Rose","Blauetikett Bornträger",NA
"Rosa gallica","Essigrose","Blauetikett Bornträger",NA
"Rosa glauca","Hechtrose,Rotblättrige Rose","Blauetikett Bornträger",NA
"Rosa jundzillii","Raublättrige Rose","Blauetikett Bornträger",NA
"Rosa majalis","Zimtrose","Blauetikett Bornträger",NA
"Rosa micrantha","Kleinblütige Rose","Blauetikett Bornträger",NA
"Rosa pendulina","Hängefrucht-Rose,Ackerheckenrose, Alpenheckenrose","Blauetikett Bornträger",NA
"Rosa stylosa","Griffel-Rose","Blauetikett Bornträger",NA
"Rosa tomentella","Flaumrose,Stumpfblättrige Rose","Blauetikett Bornträger",NA
"Rosa villosa","Apfelrose","Blauetikett Bornträger",NA
"Rubus chamaemorus","Moltebeere","Blauetikett Bornträger",NA
"Rumex aquaticus","Wasser-Ampfer","Blauetikett Bornträger",NA
"Rumex hydrolapathum","Fluß-Ampfer","Blauetikett Bornträger",NA
"Rumex maritimus","Strand-Ampfer,Ufer-Ampfer","Blauetikett Bornträger",NA
"Ruta graveolens","Wein-Raute","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/weinraute-ruta-graveolens.html"
"Sagina nodosa","Knotiges Mastkraut","Blauetikett Bornträger",NA
"Salix daphnoides","Reif-Weide","Blauetikett Bornträger",NA
"Salix pentandra","Lorbeer-Weide","Blauetikett Bornträger",NA
"Salix starkeana","Bleiche Weide","Blauetikett Bornträger",NA
"Salvia nemorosa","Steppensalbei,Hain-Salbei","Blauetikett Bornträger",NA
"Saxifraga aizoides","Fetthennen-Steinbrech","Blauetikett Bornträger",NA
"Saxifraga granulata","Körnchen-Steinbrech","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/saxifraga-granulata-kn-llchen-steinbrech.html"
"Saxifraga paniculata","Rispen-Steinbrech,Trauben-Steinbrech, Immergrüner Steinbrech","Blauetikett Bornträger",NA
"Scabiosa canescens","Duft-Skabiose","Blauetikett Bornträger",NA
"Scandix pecten-veneris","Venuskamm,Nadelkerbel","Blauetikett Bornträger",NA
"Schoenoplectus tabernaemontani","Salz-Teichbinse,Graue Seebinse","Blauetikett Bornträger",NA
"Schoenus nigricans","Schwarzes Kopfried,Kopfbinse","Blauetikett Bornträger",NA
"Scleranthus perennis","Ausdauernder Knäuel","Blauetikett Bornträger",NA
"Scorzonera austriaca","Österreichische Schwarzwurzel","Blauetikett Bornträger",NA
"Scorzonera hispanica","Garten-Schwarzwurzel,Spanische Schwarzwurzel","Blauetikett Bornträger",NA
